envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
19917500,121000,39.17,59.17,23.7459,4.8221,0.1504,17.1094,0.0062,0.0106,0.5189,1.1284,0.0773,-0.1211,0.6451,0.8586,0.9514,0.0347,-0.0472,5.4587,21.201
19992500,121500,9.34,60.33,25.5073,5.3957,0.1416,18.0534,0.0041,0.0124,0.4852,1.4148,0.0818,-0.156,0.5785,0.8201,0.799,0.0408,0.0696,5.8451,29.0724
20067500,122000,27.98,61.0,26.2384,6.0887,0.1686,17.9055,0.0032,0.0067,0.496,1.5697,0.0998,-0.1338,0.6495,0.9104,1.1009,0.0234,0.1324,6.4503,24.1438
20142500,122500,24.82,49.21,24.4675,5.4441,0.1334,16.8456,0.0022,0.0044,0.2835,1.7542,0.071,-0.1693,0.6527,0.985,0.9349,0.0541,0.017,5.8782,24.878
20222500,123000,48.1,59.27,25.4015,5.5253,0.1539,17.8136,0.0047,0.0079,0.5444,1.3519,0.048,-0.1455,0.7134,0.9281,1.0572,0.0807,-0.1483,6.0876,22.0651
20302500,123500,49.2,72.21,26.5635,5.0495,0.1512,19.2072,0.0026,0.0028,0.6506,1.4995,0.0409,-0.0332,0.7349,0.8439,0.9752,0.0057,-0.021,6.4768,20.2385
20382500,124000,45.98,90.42,25.3021,5.0081,0.1337,17.6336,0.0038,0.0145,0.5637,1.9446,0.0677,-0.1364,0.7021,1.0442,1.122,0.0754,-0.1187,7.0466,24.1058
20457500,124500,24.99,48.59,23.7545,5.8901,0.1538,15.8968,0.0034,0.0082,0.3157,1.4866,0.0924,-0.0381,0.5999,0.7304,0.9655,-0.0271,-0.0925,6.3334,24.9601
20532500,125000,22.63,71.2,25.7289,6.1188,0.1307,17.4303,0.0032,0.0091,0.5585,1.4784,0.0445,-0.0688,0.8776,0.8397,1.1433,0.0254,-0.0193,4.7882,24.7089
20612500,125500,41.94,72.83,23.3419,4.3926,0.1519,16.721,0.0031,0.0051,0.313,1.7552,0.0577,-0.1785,0.8366,0.8855,0.8048,0.0183,-0.0088,5.8402,27.2056
20687500,126000,20.84,94.72,33.768,6.4141,0.1401,25.3201,0.0071,0.0648,0.839,0.9827,0.0925,-0.0698,0.9114,0.9628,1.0176,-0.0788,0.3491,4.7757,26.9603
